Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Cycle D 2025,ICLT 327 M02,The Literature of Initiation,Trimnell,05/15/2025,5:30:00 PM,8:10:00 PM,"26 W. 61st St., Rm. 401",New York City
Cycle D 2025,PHTH 790 W01,Research in PT III: Capstone,Handrakis,05/14/2025,8:15:00 AM,10:15:00 AM,"Ferentinos Health Sci, Rm. 229",Long Island
