Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,ECON 204 M01,Principles of Economics II,Kinfemichael,05/12/2025,8:15:00 AM,10:15:00 AM,"16 W. 61st St., Rm. 721",New York City
Spring 2025,ECON 204 W01,Principles of Economics II,Afxentiou,05/15/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 227",Long Island
Spring 2025,ECON 601 M01,Managerial Econ for Dec Making,Ozelli,05/16/2025,5:45:00 PM,8:24:00 PM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,ECON 601 M02,Managerial Econ for Dec Making,Kinfemichael,05/14/2025,3:00:00 PM,5:00:00 PM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,ECON 601 M03,Managerial Econ for Dec Making,Afxentiou,05/14/2025,3:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 406",New York City
Spring 2025,EDCO 601 M01,Human Development,Crandall,05/13/2025,5:00:00 PM,7:30:00 PM,Zoom,New York City
Spring 2025,EDCO 601 W01,Human Development,Crandall,05/14/2025,5:00:00 PM,7:30:00 PM,Zoom,Long Island
Spring 2025,EDCO 650 M01,Social Justice,Cinotti,05/15/2025,5:00:00 PM,7:30:00 PM,Zoom,New York City
Spring 2025,EDCO 705 M01,Career Couns/Lifestyle Develop,Henderson,05/14/2025,5:00:00 PM,7:30:00 PM,"26 W. 61st St., Rm. 401",New York City
Spring 2025,EDCO 705 W01,Career Couns/Lifestyle Develop,Henderson,05/13/2025,5:00:00 PM,7:30:00 PM,"Harry J. Schure Hall, Rm. 236",Long Island
Spring 2025,EDCO 740 M01,Intern School Counseling II,Segal-Nachamie,05/12/2025,5:00:00 PM,7:30:00 PM,Zoom,New York City
Spring 2025,EDCO 740 W01,Intern School Counseling II,Smith,05/12/2025,5:00:00 PM,7:30:00 PM,Zoom,Long Island
Spring 2025,EDCO 870 W01,Field Practicum and Seminar,Cinotti,05/12/2025,7:30:00 PM,10:00:00 PM,Zoom,Long Island
Spring 2025,EDCO 880 M01,Bilingual Fld Practicum & Sem,Cinotti,05/12/2025,7:30:00 PM,10:00:00 PM,Zoom,New York City
Spring 2025,EENG 125 M01,Fundamentals of Digital Logic,Stietzel,05/14/2025,5:30:00 PM,8:10:00 PM,"16 W. 61st St., Rm. 721",New York City
Spring 2025,EENG 125 M02,Fundamentals of Digital Logic,Santhanakrishnan,05/13/2025,3:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 723",New York City
Spring 2025,EENG 125 M03,Fundamentals of Digital Logic,Bangalore Chandrasekhara Navya,05/14/2025,3:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 822",New York City
Spring 2025,EENG 125 W01,Fundamentals of Digital Logic,Nadler,05/15/2025,10:30:00 AM,12:30:00 PM,"Anna Rubin Hall, Rm. 305",Long Island
Spring 2025,EENG 125 W02,Fundamentals of Digital Logic,Sassoon,05/12/2025,12:45:00 PM,2:45:00 PM,"Anna Rubin Hall, Rm. 309",Long Island
Spring 2025,EENG 211 M01,Electrical Circuits I,Santhanakrishnan,05/15/2025,5:30:00 PM,8:10:00 PM,"Guiliano Global Ctr., Rm. 903",New York City
Spring 2025,EENG 211 W01,Electrical Circuits I,Wadoo,05/13/2025,5:45:00 PM,8:24:00 PM,"Anna Rubin Hall, Rm. 316",Long Island
