Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,FCWR 101 M01,Writing I:Found Coll Comp,Bandele,05/15/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 319",New York City
Spring 2025,FCWR 101 M02,Writing I:Found Coll Comp,Olerich,05/15/2025,12:45:00 PM,2:45:00 PM,"16 W. 61st St., Rm. 623",New York City
Spring 2025,FCWR 101 M03,Writing I:Found Coll Comp,Olerich,05/15/2025,12:45:00 PM,2:45:00 PM,"16 W. 61st St., Rm. 722",New York City
Spring 2025,FCWR 101 W01,Writing I:Found Coll Comp,Black,05/15/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,FCWR 111 M01,Writing I:Comp Intl Stds,McGoldrick,05/13/2025,10:30:00 AM,1:30:00 PM,"Guiliano Global Ctr., Rm. 319",New York City
Spring 2025,FCWR 111 M02,Writing I:Comp Intl Stds,McGoldrick,05/13/2025,10:30:00 AM,1:30:00 PM,"Guiliano Global Ctr., Rm. 319",New York City
Spring 2025,FCWR 111 M03,Writing I:Comp Intl Stds,Vinitskaya,05/13/2025,10:30:00 AM,1:30:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,FCWR 111 W01,Writing I:Comp Intl Stds,Vila,05/16/2025,10:30:00 AM,1:30:00 PM,"Harry J. Schure Hall, Rm. CLC2",Long Island
Spring 2025,FCWR 151 M01,Writing II:Fnd Rsrch Writ,Balter,05/13/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 406",New York City
Spring 2025,FCWR 151 M02,Writing II:Fnd Rsrch Writ,Bandele,05/14/2025,3:00:00 PM,5:00:00 PM,"26 W. 61st St., Rm. 207",New York City
Spring 2025,FCWR 151 M03,Writing II:Fnd Rsrch Writ,Prescott,05/14/2025,3:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 623",New York City
Spring 2025,FCWR 151 M04,Writing II:Fnd Rsrch Writ,Prescott,05/12/2025,3:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 623",New York City
Spring 2025,FCWR 151 M05,Writing II:Fnd Rsrch Writ,Piscitello,05/14/2025,10:30:00 AM,12:30:00 PM,"26 W. 61st St., Rm. 207",New York City
Spring 2025,FCWR 151 M06,Writing II:Fnd Rsrch Writ,Piscitello,05/16/2025,3:00:00 PM,5:00:00 PM,"26 W. 61st St., Rm. 207",New York City
Spring 2025,FCWR 151 M07,Writing II:Fnd Rsrch Writ,Pressman,05/16/2025,3:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,FCWR 151 M08,Writing II:Fnd Rsrch Writ,Pressman,05/16/2025,3:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,FCWR 151 W01,Writing II:Fnd Rsrch Writ,Davis,05/12/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,FCWR 151 W02,Writing II:Fnd Rsrch Writ,MacDonald,05/14/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. CLC2",Long Island
Spring 2025,FCWR 151 W03,Writing II:Fnd Rsrch Writ,Hatley,05/14/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,FCWR 151 W04,Writing II:Fnd Rsrch Writ,Misak,05/12/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. CLC2",Long Island
Spring 2025,FCWR 151 W05,Writing II:Fnd Rsrch Writ,Graf,05/15/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 220",Long Island
Spring 2025,FCWR 151 W06,Writing II:Fnd Rsrch Writ,Hautsch,05/12/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 203",Long Island
Spring 2025,FCWR 151 W09,Writing II:Fnd Rsrch Writ,Love,05/14/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. CLC2",Long Island
Spring 2025,FCWR 151 W10,Writing II:Fnd Rsrch Writ,Jarvis,05/13/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. CLC3",Long Island
Spring 2025,FCWR 151 W11,Writing II:Fnd Rsrch Writ,Graf,05/15/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 105",Long Island
Spring 2025,FCWR 151 W12,Writing II:Fnd Rsrch Writ,Hatley,05/12/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,FCWR 151 W13,Writing II:Fnd Rsrch Writ,Hautsch,05/14/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. CLC4",Long Island
Spring 2025,FCWR 151 W14,Writing II:Fnd Rsrch Writ,Hatley,05/12/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. CLC4",Long Island
Spring 2025,FCWR 151 W15,Writing II:Fnd Rsrch Writ,Graf,05/13/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. 216A",Long Island
Spring 2025,FCWR 161 M01,Writing II:Comp Intl Stds,Schiavi,05/15/2025,12:45:00 PM,2:45:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,FCWR 161 M02,Writing II:Comp Intl Stds,Balter,05/15/2025,12:45:00 PM,2:45:00 PM,"26 W. 61st St., Rm. 207",New York City
Spring 2025,FCWR 161 M03,Writing II:Comp Intl Stds,Vinitskaya,05/14/2025,3:00:00 PM,5:00:00 PM,"26 W. 61st St., Rm. 401",New York City
Spring 2025,FCWR 161 W01,Writing II:Comp Intl Stds,Vila,05/14/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. CLC3",Long Island
Spring 2025,FCWR 302 W01,Comm for Health,MacDonald,05/15/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. CLC2",Long Island
Spring 2025,FCWR 303 M01,Art Design Comm,Umbers,05/16/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 319",New York City
Spring 2025,FCWR 303 W01,Art Design Comm,Davis,05/14/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,FCWR 304 W02,Comm for Technical Professions,Hautsch,05/12/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. 203",Long Island
Spring 2025,FINC 201 M01,Corporation Finance,Sabharwal,05/15/2025,12:45:00 PM,2:45:00 PM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,FINC 201 W01,Corporation Finance,Kang,05/15/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 118",Long Island
Spring 2025,FINC 320 M01,Advanced Financial Management,Kang,05/15/2025,10:30:00 AM,12:30:00 PM,Zoom,New York City
Spring 2025,FINC 320 W01,Advanced Financial Management,Kang,05/15/2025,10:30:00 AM,12:30:00 PM,Zoom,Long Island
Spring 2025,FINC 405 M01,Modern Portfolio Theory,Hu,05/13/2025,3:00:00 PM,5:00:00 PM,Zoom,New York City
Spring 2025,FINC 405 W01,Modern Portfolio Theory,Hu,05/13/2025,3:00:00 PM,5:00:00 PM,Zoom,Long Island
Spring 2025,FINC 601 M01,Financial Management,Kutasovic,05/16/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,FINC 601 M02,Financial Management,Kelly,05/14/2025,5:45:00 PM,8:24:00 PM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,FINC 601 M03,Financial Management,Lee,05/12/2025,5:45:00 PM,8:24:00 PM,"26 W. 61st St., Rm. 504",New York City
Spring 2025,FINC 635 M01,Insurance and Risk Management,Kelly,05/14/2025,3:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 1118",New York City
Spring 2025,FINC 705 M01,International Finance,Kang,05/16/2025,3:00:00 PM,5:00:00 PM,Zoom,New York City
Spring 2025,FINC 734 M01,Equity Investmts,Kelly,05/13/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,FINC 734 W01,Equity Investmts,Kelly,05/13/2025,5:45:00 PM,8:24:00 PM,Zoom,Long Island
Spring 2025,FINC 760 M01,Corp Financial Decision Making,Kent,05/15/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,FINC 760 W01,Corp Financial Decision Making,Kent,05/15/2025,5:45:00 PM,8:24:00 PM,Zoom,Long Island
Spring 2025,GHTH 601 W01,Crit Issues in Global Health,Niwagaba,05/16/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. 102",Long Island
Spring 2025,HIST 110 M01,American History I,Izady,05/12/2025,12:45:00 PM,2:45:00 PM,Zoom,New York City
Spring 2025,HIST 110 W01,American History I,Izady,05/12/2025,12:45:00 PM,2:45:00 PM,Zoom,Long Island
Spring 2025,HIST 150 M01,American History II,Izady,05/14/2025,3:00:00 PM,5:00:00 PM,Zoom,New York City
Spring 2025,HIST 150 W01,American History II,Izady,05/14/2025,3:00:00 PM,5:00:00 PM,Zoom,Long Island
Spring 2025,HNRS 101 M01,Honors Seminar I,Nikitopoulos,05/13/2025,6:15:00 PM,7:15:00 PM,"Guiliano Global Ctr., Rm. 702",New York City
Spring 2025,HNRS 101 W01,Honors Seminar I,Nikitopoulos,05/14/2025,5:30:00 PM,6:30:00 PM,"Ferentinos Health Sci, Rm. 112",Long Island
Spring 2025,HRMT 435 M01,Talent Management,Baez,05/15/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,HRMT 435 W01,Talent Management,Baez,05/15/2025,5:45:00 PM,8:24:00 PM,Zoom,Long Island
Spring 2025,HSCI 190 W01,Community Health,Bonney,05/14/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 102",Long Island
Spring 2025,HSCI 195 W01,Prof Cult Hlth,El Habbal,05/14/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 203",Long Island
Spring 2025,ICBS 301 M01,Cross Cult Date,Kouame,05/12/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 704",New York City
Spring 2025,ICBS 302 M01,Intergroup Rel,Olmsted,05/14/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 704",New York City
Spring 2025,ICBS 302 W01,Intergroup Rel,Karahalis,05/14/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 216A",Long Island
Spring 2025,ICBS 303 W01,Dynamics of Violence,Restivo,05/12/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 216B",Long Island
Spring 2025,ICBS 305 M01,Gender Identity,Silvan-Grau,05/14/2025,10:30:00 AM,12:30:00 PM,"16 W. 61st St., Rm. 721",New York City
Spring 2025,ICBS 309 W01,Anthro Health Sem,Lauren,05/12/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 118",Long Island
Spring 2025,ICBS 309 W02,Anthro Health Sem,Lauren,05/13/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. 118",Long Island
Spring 2025,ICLT 300 M01,Core Seminar in Literature,Williams,05/14/2025,5:30:00 PM,8:10:00 PM,"16 W. 61st St., Rm. 623",New York City
Spring 2025,ICLT 308 M01,Contemporary Poetry,Jirousek-Falls,05/14/2025,10:30:00 AM,12:30:00 PM,"16 W. 61st St., Rm. 722",New York City
Spring 2025,ICLT 312 W01,Shakespeare,Jarvis,05/15/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 122",Long Island
Spring 2025,ICLT 319 W01,Detective Fiction,Misak,05/14/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 122",Long Island
Spring 2025,ICPH 300 M01,Core Seminar in Philosophy,O'Hara,05/13/2025,8:15:00 AM,10:15:00 AM,Zoom,New York City
Spring 2025,ICPH 300 M02,Core Seminar in Philosophy,O'Hara,05/15/2025,12:45:00 PM,2:45:00 PM,Zoom,New York City
Spring 2025,ICPH 300 M03,Core Seminar in Philosophy,Izady,05/12/2025,8:20:00 PM,11:00:00 PM,Zoom,New York City
Spring 2025,ICPH 300 W01,Core Seminar in Philosophy,O'Hara,05/13/2025,8:15:00 AM,10:15:00 AM,Zoom,Long Island
Spring 2025,ICPH 300 W02,Core Seminar in Philosophy,O'Hara,05/15/2025,12:45:00 PM,2:45:00 PM,Zoom,Long Island
Spring 2025,ICPH 300 W03,Core Seminar in Philosophy,Izady,05/12/2025,8:20:00 PM,11:00:00 PM,Zoom,Long Island
Spring 2025,ICPH 302 M01,The Legacy of Socrates,Kelly,05/13/2025,8:15:00 AM,10:15:00 AM,Zoom,New York City
Spring 2025,ICPH 302 W01,The Legacy of Socrates,Kelly,05/12/2025,12:45:00 PM,2:45:00 PM,"Anna Rubin Hall, Rm. 306",Long Island
Spring 2025,ICPH 306 M01,Bioethics,Robinson,05/16/2025,12:45:00 PM,2:45:00 PM,Zoom,New York City
Spring 2025,ICPH 306 W01,Bioethics,Robinson,05/16/2025,12:45:00 PM,2:45:00 PM,Zoom,Long Island
Spring 2025,ICSS 308 M01,Seminar in Eco Sustain,Martinez,05/14/2025,3:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,IDSP 098 W01,Skills for College Success I,Wheelock,05/14/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. 230",Long Island
Spring 2025,IDSP 320 W01,Special Topics,Goldsmith,05/16/2025,3:00:00 PM,5:00:00 PM,Zoom,Long Island
Spring 2025,IDSP099 M01,Skills for College Success II,VanOmmeren Briggs,05/14/2025,12:45:00 PM,2:45:00 PM,"26 W. 61st St., Rm. 207",New York City
Spring 2025,IDSP099 W01,Skills for College Success II,Reddington,05/14/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 216A",Long Island
Spring 2025,IENG 240 M01,Engineering Economics,Singh,05/15/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 702",New York City
Spring 2025,IENG 240 W01,Engineering Economics,Gu,05/13/2025,5:45:00 PM,8:24:00 PM,"Anna Rubin Hall, Rm. 309",Long Island
Spring 2025,IENG 245 W01,Statistical Design I,Berri,05/12/2025,3:00:00 PM,5:00:00 PM,"Anna Rubin Hall, Rm. 312",Long Island
Spring 2025,IENG 251 M01,Project Engineering,Li,05/16/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 606",New York City
Spring 2025,IENG 251 W01,Project Engineering,Li,05/12/2025,5:45:00 PM,8:24:00 PM,Zoom,Long Island
Spring 2025,IENG 345 M01,Statistical Design II,Berri,05/12/2025,5:45:00 PM,8:24:00 PM,"Guiliano Global Ctr., Rm. 409",New York City
Spring 2025,IENG 345 W04,Statistical Design II,Berri,05/12/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 216A",Long Island
Spring 2025,IENG 400 M01,Technology and Global Issues,Cubenas,05/12/2025,8:15:00 AM,10:15:00 AM,"16 W. 61st St., Rm. 723",New York City
Spring 2025,IENG 400 M02,Technology and Global Issues,Cubenas,05/12/2025,5:30:00 PM,8:10:00 PM,Zoom,New York City
Spring 2025,IENG 400 M03,Technology and Global Issues,Cubenas,05/13/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,IENG 400 M04,Technology and Global Issues,Galli,05/12/2025,3:00:00 PM,5:00:00 PM,Zoom,New York City
Spring 2025,IENG 400 W01,Technology and Global Issues,Ransom,05/15/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 130",Long Island
Spring 2025,IENG 400 W02,Technology and Global Issues,Guzman,05/14/2025,5:45:00 PM,8:24:00 PM,Zoom,Long Island
Spring 2025,IENG 421 W01,Technology & Entrepreneurship,Tudisco,05/15/2025,5:45:00 PM,8:24:00 PM,"Anna Rubin Hall, Rm. 303",Long Island
Spring 2025,IENG 423 W01,Technology Entrepreneur Sem,Goldsmith,05/16/2025,3:00:00 PM,5:00:00 PM,Zoom,Long Island
Spring 2025,IENG 475 W01,Industrial Engineering Dsgn I,Qasaimeh,05/14/2025,5:45:00 PM,8:24:00 PM,Zoom,Long Island
Spring 2025,INCS 615 M01,Adv Netwk & Internet Security,Gasti,05/14/2025,5:45:00 PM,8:24:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,INCS 615 W01,Adv Netwk & Internet Security,Gasti,05/14/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,INCS 735 M01,Secure Software Engineering,Mirza,05/17/2025,2:10:00 PM,4:49:00 PM,"16 W. 61st St., Rm. 723",New York City
Spring 2025,INCS 735 W01,Secure Software Engineering,Mirza,05/17/2025,2:10:00 PM,4:49:00 PM,"Harry J. Schure Hall, Rm. 227",Long Island
Spring 2025,INCS 745 M01,Intrusion Detect & Hacker Exp,Gasti,05/16/2025,5:45:00 PM,8:24:00 PM,"16 W. 61st St., Rm. 721",New York City
Spring 2025,INCS 745 W01,Intrusion Detect & Hacker Exp,Gasti,05/16/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,ITEC 290 M01,Database Systems,Fischman,05/13/2025,5:30:00 PM,8:10:00 PM,"16 W. 61st St., Rm. 723",New York City
Spring 2025,ITEC 290 W02,Database Systems,Doxey,05/15/2025,12:45:00 PM,2:45:00 PM,"Anna Rubin Hall, Rm. 304",Long Island
Spring 2025,ITEC 305 M01,Internet Programming I,Salayka,05/15/2025,5:45:00 PM,8:24:00 PM,"16 W. 61st St., Rm. 721",New York City
Spring 2025,ITEC 305 W01,Internet Programming I,Salayka,05/15/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,ITEC 315 M01,Mob App Design,Salayka,05/15/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 401",New York City
Spring 2025,ITEC 315 W01,Mob App Design,Salayka,05/15/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,ITEC 320 M01,Web Multimed Dev I,Salayka,05/13/2025,5:45:00 PM,8:24:00 PM,"Guiliano Global Ctr., Rm. 704",New York City
Spring 2025,ITEC 320 W01,Web Multimed Dev I,Salayka,05/13/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,ITEC 357 M01,Cisco Academy Level 1,Alawiye,05/16/2025,5:30:00 PM,8:10:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,ITEC 357 W01,Cisco Academy Level 1,Alawiye,05/16/2025,5:30:00 PM,8:10:00 PM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,ITEC 440 M01,Adv Netwk & Internet Security,Gasti,05/14/2025,5:45:00 PM,8:24:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,ITEC 445 M02,Operating System Security,Gass,05/13/2025,5:45:00 PM,8:24:00 PM,"16 W. 61st St., Rm. 721",New York City
Spring 2025,ITEC 445 W01,Operating System Security,Salayka,05/14/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 216B",Long Island
Spring 2025,ITEC 460 W01,Topics Info Tech,Goldsmith,05/16/2025,3:00:00 PM,5:00:00 PM,Zoom,Long Island
Spring 2025,LLAW 110 M01,Legal Environment of Business,Bienstock,05/13/2025,8:15:00 AM,10:15:00 AM,"26 W. 61st St., Rm. 313",New York City
Spring 2025,LLAW 110 W01,Legal Environment of Business,Bienstock,05/12/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 122",Long Island
Spring 2025,MATH 115 M01,Intro to Mathematics Concepts,Gopaul,05/12/2025,3:00:00 PM,6:00:00 PM,"16 W. 61st St., Rm. 820",New York City
Spring 2025,MATH 115 W01,Intro to Mathematics Concepts,Imam,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 308",Long Island
Spring 2025,MATH 125 M01,Finite Mathematics,Yang,05/12/2025,8:15:00 AM,11:15:00 AM,"26 W. 61st St., Rm. 312",New York City
Spring 2025,MATH 135 M01,Fundamentals of Precalculus I,Momplaisir,05/15/2025,5:30:00 PM,7:55:00 PM,"Guiliano Global Ctr., Rm. 401",New York City
Spring 2025,MATH 135 W02,Fundamentals of Precalculus I,Murray,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 309",Long Island
Spring 2025,MATH 135 W99,Fundamentals of Precalculus I,Singh,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 306",Long Island
Spring 2025,MATH 136 M01,Fundamentals of Precalculus II,Leon,05/15/2025,11:45:00 AM,2:45:00 PM,"Guiliano Global Ctr., Rm. 706",New York City
Spring 2025,MATH 136 M02,Fundamentals of Precalculus II,Gopaul,05/12/2025,8:15:00 AM,11:15:00 AM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,MATH 136 M03,Fundamentals of Precalculus II,Vasas,05/14/2025,2:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 706",New York City
Spring 2025,MATH 136 M04,Fundamentals of Precalculus II,Bilsky-Bieniek,05/14/2025,5:30:00 PM,7:55:00 PM,"Guiliano Global Ctr., Rm. 401",New York City
Spring 2025,MATH 136 M05,Fundamentals of Precalculus II,McGuirk,05/13/2025,8:15:00 AM,11:15:00 AM,"16 W. 61st St., Rm. 623",New York City
Spring 2025,MATH 136 M06,Fundamentals of Precalculus II,Johnson,05/15/2025,6:09:00 PM,8:24:00 PM,"16 W. 61st St., Rm. 623",New York City
Spring 2025,MATH 136 W01,Fundamentals of Precalculus II,Jemison,05/15/2025,6:09:00 PM,8:35:00 PM,"Anna Rubin Hall, Rm. 304",Long Island
Spring 2025,MATH 136 W02,Fundamentals of Precalculus II,Petrushka,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 316",Long Island
Spring 2025,MATH 136 W03,Fundamentals of Precalculus II,Iyer,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 308",Long Island
Spring 2025,MATH 136 W04,Fundamentals of Precalculus II,El Houari,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 309",Long Island
Spring 2025,MATH 136 W05,Fundamentals of Precalculus II,Iyer,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 308",Long Island
Spring 2025,MATH 141 M01,Precalculus,Ly,05/13/2025,2:00:00 PM,5:00:00 PM,"26 W. 61st St., Rm. 11",New York City
Spring 2025,MATH 141 W01,Precalculus,Mollapourasl,05/14/2025,6:09:00 PM,8:24:00 PM,"Anna Rubin Hall, Rm. 314",Long Island
Spring 2025,MATH 151 M01,Fundamentals of Calculus,Yang,05/12/2025,11:45:00 AM,2:45:00 PM,"Guiliano Global Ctr., Rm. 401",New York City
Spring 2025,MATH 151 W01,Fundamentals of Calculus,Iyer,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 308",Long Island
Spring 2025,MATH 161 M01,Basic Applied Calculus,Zweck,05/14/2025,2:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 704",New York City
Spring 2025,MATH 161 W01,Basic Applied Calculus,Silverstein,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 304",Long Island
Spring 2025,MATH 170 M01,Calculus I,Luo,05/15/2025,12:45:00 PM,3:45:00 PM,"Guiliano Global Ctr., Rm. 401",New York City
Spring 2025,MATH 170 M02,Calculus I,Yassiyevich,05/14/2025,2:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 723",New York City
Spring 2025,MATH 170 M03,Calculus I,Yassiyevich,05/13/2025,8:15:00 AM,11:15:00 AM,"Guiliano Global Ctr., Rm. 405",New York City
Spring 2025,MATH 170 M04,Calculus I,Yassiyevich,05/15/2025,12:45:00 PM,3:45:00 PM,"26 W. 61st St., Rm. 313",New York City
Spring 2025,MATH 170 W01,Calculus I,Park,05/13/2025,10:30:00 AM,2:30:00 PM,"Harry J. Schure Hall, Rm. 130",Long Island
Spring 2025,MATH 170 W02,Calculus I,Silverstein,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 304",Long Island
Spring 2025,MATH 180 M01,Calculus II,McGuirk,05/14/2025,2:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 721",New York City
Spring 2025,MATH 180 M02,Calculus II,Gurtas,05/14/2025,10:30:00 AM,1:30:00 PM,"26 W. 61st St., Rm. 312",New York City
Spring 2025,MATH 180 M03,Calculus II,McGuirk,05/15/2025,11:45:00 AM,2:45:00 PM,"16 W. 61st St., Rm. 721",New York City
Spring 2025,MATH 180 M04,Calculus II,Luo,05/15/2025,8:15:00 AM,11:15:00 AM,"16 W. 61st St., Rm. 624",New York City
Spring 2025,MATH 180 W01,Calculus II,Roitberg,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 308",Long Island
Spring 2025,MATH 180 W02,Calculus II,Roitberg,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 308",Long Island
Spring 2025,MATH 180 W03,Calculus II,Petrushka,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 316",Long Island
Spring 2025,MATH 180 W04,Calculus II,Lee,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 307",Long Island
Spring 2025,MATH 260 M01,Calculus III,Katsnelson,05/12/2025,8:15:00 AM,11:15:00 AM,"16 W. 61st St., Rm. 822",New York City
Spring 2025,MATH 260 W01,Calculus III,Wen,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 301",Long Island
Spring 2025,MATH 310 M01,Linear Algebra,Yassiyevich,05/12/2025,11:45:00 AM,2:45:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,MATH 310 M02,Linear Algebra,Luo,05/15/2025,11:15:00 AM,2:15:00 PM,"16 W. 61st St., Rm. 624",New York City
Spring 2025,MATH 310 W01,Linear Algebra,Park,05/13/2025,10:30:00 AM,2:30:00 PM,"Harry J. Schure Hall, Rm. 130",Long Island
Spring 2025,MATH 320 M01,Differential Equations,Zweck,05/12/2025,11:45:00 AM,2:45:00 PM,"16 W. 61st St., Rm. 820",New York City
Spring 2025,MATH 320 W01,Differential Equations,Wen,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 301",Long Island
Spring 2025,MATH 320 W02,Differential Equations,Roy,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 312",Long Island
Spring 2025,MATH 330 M01,Computational Analysis,Hofstrand,05/15/2025,8:15:00 AM,11:15:00 AM,"Guiliano Global Ctr., Rm. 405",New York City
Spring 2025,MATH 330 W01,Computational Analysis,Hofstrand,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 312",Long Island
Spring 2025,MATH 350 M01,Advanced Calculus,Roy,05/12/2025,2:00:00 PM,5:00:00 PM,"16 W. 61st St., Rm. 722",New York City
Spring 2025,MATH 350 W01,Advanced Calculus,Roy,05/13/2025,10:30:00 AM,2:30:00 PM,"Anna Rubin Hall, Rm. 312",Long Island
Spring 2025,MATH 370 M01,Real Analysis,Hofstrand,05/15/2025,11:45:00 AM,2:45:00 PM,"16 W. 61st St., Rm. 1119",New York City
Spring 2025,MATH 450 M01,Partial Differential Equations,Wen,05/16/2025,2:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 406",New York City
